etiqueta,mensaje
spam,We detected a login from a new device on your PayPal account. Not you? http://verify-now.io/session
spam,Your Disney Plus membership expires today. Renew now and get 30% off http://verify-now.io/session
spam,USPS notice: incomplete address. Update details within 24h https://tinyurl.com/y7auth
spam,Payment declined for HBO Max. Update your card details http://account-update.net/id
ham,hey can you send me the zoom link for the meeting
spam,Your Spotify membership expires today. Renew now and get 70% off http://verify-now.io/session
spam,We detected a login from a new device on your PayPal account. Not you? https://bit.ly/3xKp2mQ
ham,"the wifi password is on the router, check the back"
spam,Final notice: your Crypto.com withdrawal of $890 is pending approval http://account-update.net/id
spam,Your package DE7719284 could not be delivered. Confirm shipping fee $1.99 https://bit.ly/3xKp2mQ
ham,i think i left my charger at your place
ham,sending you the photos from last weekend
spam,Remote position available: earn $2100 weekly working from home. Apply http://verify-now.io/session
spam,Payment declined for Netflix. Update your card details http://verify-now.io/session
spam,Refund of 0.45 BTC approved. Confirm your account to receive funds http://secure-verify.co/x9
spam,Someone requested a password reset for your Instagram account. Code 159372 https://bit.ly/3xKp2mQ
spam,Google account locked due to suspicious activity. Restore access http://secure-verify.co/x9
spam,Royal Mail: your parcel is held at customs. Pay $0.99 clearance fee http://verify-now.io/session
spam,Your CV was shortlisted. Complete onboarding to start earning $890 http://secure-verify.co/x9
spam,We detected a login from a new device on your PayPal account. Not you? http://secure-verify.co/x9
ham,"my phone died earlier sorry, whats up"
spam,Your verification code is 770264. Do not share. If this wasn't you visit https://tinyurl.com/y7auth
spam,Chase alert: a transaction of $890 was authorized. Cancel here http://account-update.net/id
spam,Your Google subscription payment failed. Update billing to avoid cancellation http://account-update.net/id
spam,Your Amazon subscription payment failed. Update billing to avoid cancellation https://bit.ly/3xKp2mQ
spam,URGENT: unusual login on your Kraken account. Secure your assets now https://tinyurl.com/y7auth
spam,Your BTC wallet received $2100. Verify your seed phrase at http://secure-verify.co/x9 to unlock
ham,"lets grab lunch tomorrow, maybe around 1?"
spam,DHL: your parcel is held at customs. Pay $0.99 clearance fee http://secure-verify.co/x9
spam,crypto airdrop closing today. Connect wallet to claim $1250 https://bit.ly/3xKp2mQ
spam,Remote position available: earn $890 weekly working from home. Apply http://secure-verify.co/x9
spam,Your verification code is 482913. Do not share. If this wasn't you visit http://verify-now.io/session
spam,URGENT: unusual login on your Binance account. Secure your assets now https://tinyurl.com/y7auth
spam,"Part time data entry role, $3400 per week, no experience needed http://secure-verify.co/x9"
ham,"the wifi password is on the router, check the back"
spam,Refund of $1250 approved. Confirm your account to receive funds http://secure-verify.co/x9
spam,Payment declined for Disney Plus. Update your card details http://verify-now.io/session
spam,Refund of $620 approved. Confirm your account to receive funds https://bit.ly/3xKp2mQ
ham,"im running late, traffic is crazy. be there in 15"
spam,Someone requested a password reset for your PayPal account. Code 770264 https://bit.ly/3xKp2mQ
spam,Remote position available: earn $890 weekly working from home. Apply https://bit.ly/3xKp2mQ
spam,Barclays alert: a transaction of $2100 was authorized. Cancel here http://account-update.net/id
ham,hey can you send me the zoom link for the meeting
ham,can you pick up the groceries on your way back
spam,We detected a login from a new device on your Instagram account. Not you? https://tinyurl.com/y7auth
ham,"just landed, will text you when i get to the hotel"
spam,HSBC alert: a transaction of $1250 was authorized. Cancel here http://account-update.net/id
spam,Refund of $1250 approved. Confirm your account to receive funds http://verify-now.io/session
spam,URGENT: unusual login on your Crypto.com account. Secure your assets now http://account-update.net/id
spam,Your Netflix membership expires today. Renew now and get 30% off http://account-update.net/id
spam,Your Netflix membership expires today. Renew now and get 50% off http://verify-now.io/session
spam,Your package GB4471829 could not be delivered. Confirm shipping fee $1.99 https://tinyurl.com/y7auth
spam,"Part time data entry role, $620 per week, no experience needed http://account-update.net/id"
spam,Barclays: your card was temporarily blocked. Reactivate at https://bit.ly/3xKp2mQ
spam,URGENT: unusual login on your Binance account. Secure your assets now http://verify-now.io/session
spam,Royal Mail: your parcel is held at customs. Pay $1.99 clearance fee https://tinyurl.com/y7auth
spam,Your Disney Plus membership expires today. Renew now and get 50% off http://account-update.net/id
spam,HSBC alert: a transaction of $750 was authorized. Cancel here http://secure-verify.co/x9
spam,Your package DE7719284 could not be delivered. Confirm shipping fee $0.99 https://bit.ly/3xKp2mQ
spam,Payment declined for HBO Max. Update your card details http://secure-verify.co/x9
spam,We detected a login from a new device on your Microsoft account. Not you? http://account-update.net/id
spam,You have an unclaimed tax refund of $2100. Submit details http://account-update.net/id
spam,Your Amazon subscription payment failed. Update billing to avoid cancellation http://account-update.net/id
spam,Two factor verification required for your Amazon account. Confirm at http://secure-verify.co/x9
spam,"Part time data entry role, $750 per week, no experience needed http://secure-verify.co/x9"
spam,"Congratulations, you qualified for our Solana staking bonus of $620. Claim https://bit.ly/3xKp2mQ"
spam,Solana airdrop closing today. Connect wallet to claim $1250 http://account-update.net/id
ham,"lets grab lunch tomorrow, maybe around 1?"
spam,Your verification code is 770264. Do not share. If this wasn't you visit http://secure-verify.co/x9
spam,Santander alert: a transaction of 0.45 BTC was authorized. Cancel here https://tinyurl.com/y7auth
spam,Your Bitcoin wallet received $890. Verify your seed phrase at https://bit.ly/3xKp2mQ to unlock
spam,"Part time data entry role, $2100 per week, no experience needed https://bit.ly/3xKp2mQ"
spam,Final notice: your Coinbase withdrawal of $2100 is pending approval http://verify-now.io/session
spam,Refund of $3400 approved. Confirm your account to receive funds http://verify-now.io/session
spam,Your package GB4471829 could not be delivered. Confirm shipping fee $3.20 http://account-update.net/id
spam,Payment declined for Spotify. Update your card details http://account-update.net/id
spam,Your HBO Max membership expires today. Renew now and get 50% off https://bit.ly/3xKp2mQ
spam,Two factor verification required for your Google account. Confirm at http://verify-now.io/session
spam,Your Disney Plus membership expires today. Renew now and get 70% off https://bit.ly/3xKp2mQ
ham,"the wifi password is on the router, check the back"
ham,the meeting got moved to thursday morning
spam,Delivery failed for tracking US9928471. Reschedule here http://verify-now.io/session
ham,did you finish the report? i can review it tonight
spam,Your crypto wallet received $620. Verify your seed phrase at https://bit.ly/3xKp2mQ to unlock
spam,Your verification code is 482913. Do not share. If this wasn't you visit http://account-update.net/id
ham,are we still on for the gym at 6
spam,Google account locked due to suspicious activity. Restore access https://tinyurl.com/y7auth
spam,Two factor verification required for your PayPal account. Confirm at https://bit.ly/3xKp2mQ
spam,HSBC: your card was temporarily blocked. Reactivate at http://verify-now.io/session
spam,Netflix premium unlocked for you. Activate free trial https://tinyurl.com/y7auth
spam,Netflix premium unlocked for you. Activate free trial http://account-update.net/id
spam,Someone requested a password reset for your Google account. Code 482913 http://secure-verify.co/x9
spam,"Part time data entry role, $1250 per week, no experience needed https://tinyurl.com/y7auth"
ham,happy birthday!! hope you have a great one
spam,Payment declined for Spotify. Update your card details http://verify-now.io/session
spam,UPS notice: incomplete address. Update details within 24h http://verify-now.io/session
ham,did you finish the report? i can review it tonight
spam,You have an unclaimed tax refund of $620. Submit details http://account-update.net/id
spam,Two factor verification required for your Instagram account. Confirm at https://tinyurl.com/y7auth
ham,"call me when you get a chance, nothing urgent"
spam,crypto airdrop closing today. Connect wallet to claim 0.45 BTC http://secure-verify.co/x9
spam,Your BTC wallet received $750. Verify your seed phrase at http://verify-now.io/session to unlock
spam,Your Bitcoin wallet received $3400. Verify your seed phrase at http://account-update.net/id to unlock
spam,Your package DE7719284 could not be delivered. Confirm shipping fee $2.50 http://verify-now.io/session
ham,"my phone died earlier sorry, whats up"
ham,hey can you send me the zoom link for the meeting
ham,the meeting got moved to thursday morning
spam,"Part time data entry role, $890 per week, no experience needed https://bit.ly/3xKp2mQ"
spam,UPS: your parcel is held at customs. Pay $0.99 clearance fee http://secure-verify.co/x9
spam,Your Spotify membership expires today. Renew now and get 50% off https://tinyurl.com/y7auth
spam,Two factor verification required for your Google account. Confirm at https://tinyurl.com/y7auth
ham,"the wifi password is on the router, check the back"
spam,Royal Mail notice: incomplete address. Update details within 24h http://verify-now.io/session
spam,Barclays alert: a transaction of $3400 was authorized. Cancel here https://tinyurl.com/y7auth
spam,Santander: your card was temporarily blocked. Reactivate at https://bit.ly/3xKp2mQ
spam,Spotify premium unlocked for you. Activate free trial http://secure-verify.co/x9
spam,Royal Mail: your parcel is held at customs. Pay $0.99 clearance fee https://tinyurl.com/y7auth
ham,"my phone died earlier sorry, whats up"
ham,are we still on for the gym at 6
spam,URGENT: unusual login on your Binance account. Secure your assets now http://account-update.net/id
spam,Your package FR2284719 could not be delivered. Confirm shipping fee $1.99 https://bit.ly/3xKp2mQ
spam,Someone requested a password reset for your PayPal account. Code 482913 https://tinyurl.com/y7auth
spam,Your package US9928471 could not be delivered. Confirm shipping fee $0.99 https://bit.ly/3xKp2mQ
ham,can you pick up the groceries on your way back
spam,Instagram account locked due to suspicious activity. Restore access http://verify-now.io/session
spam,HSBC: your card was temporarily blocked. Reactivate at http://secure-verify.co/x9
spam,Remote position available: earn $620 weekly working from home. Apply http://account-update.net/id
spam,Spotify premium unlocked for you. Activate free trial https://tinyurl.com/y7auth
ham,"im running late, traffic is crazy. be there in 15"
spam,Two factor verification required for your Apple ID account. Confirm at http://account-update.net/id
ham,"im running late, traffic is crazy. be there in 15"
ham,happy birthday!! hope you have a great one
spam,DHL notice: incomplete address. Update details within 24h http://account-update.net/id
spam,DHL notice: incomplete address. Update details within 24h https://bit.ly/3xKp2mQ
spam,Final notice: your Kraken withdrawal of $1250 is pending approval http://secure-verify.co/x9
spam,Your Amazon subscription payment failed. Update billing to avoid cancellation http://verify-now.io/session
ham,"lets grab lunch tomorrow, maybe around 1?"
spam,Final notice: your Coinbase withdrawal of $890 is pending approval https://tinyurl.com/y7auth
ham,can you pick up the groceries on your way back
ham,did you finish the report? i can review it tonight
ham,are we still on for the gym at 6
ham,"just landed, will text you when i get to the hotel"
spam,Refund of $750 approved. Confirm your account to receive funds https://tinyurl.com/y7auth
spam,Final notice: your Crypto.com withdrawal of $620 is pending approval https://bit.ly/3xKp2mQ
spam,"Congratulations, you qualified for our BTC staking bonus of $3400. Claim http://verify-now.io/session"
spam,Delivery failed for tracking US9928471. Reschedule here http://account-update.net/id
spam,Santander alert: a transaction of $890 was authorized. Cancel here http://account-update.net/id
spam,Your verification code is 770264. Do not share. If this wasn't you visit http://verify-now.io/session
ham,are we still on for the gym at 6
spam,Amazon account locked due to suspicious activity. Restore access https://bit.ly/3xKp2mQ
ham,"thanks for helping out yesterday, really appreciate it"
ham,happy birthday!! hope you have a great one
ham,sending you the photos from last weekend
spam,Apple ID account locked due to suspicious activity. Restore access http://account-update.net/id
spam,Your verification code is 482913. Do not share. If this wasn't you visit http://secure-verify.co/x9
spam,URGENT: unusual login on your Coinbase account. Secure your assets now https://tinyurl.com/y7auth
ham,can you pick up the groceries on your way back
spam,FedEx notice: incomplete address. Update details within 24h https://bit.ly/3xKp2mQ
spam,"Part time data entry role, $3400 per week, no experience needed https://tinyurl.com/y7auth"
spam,Apple ID security alert: your account will be suspended. Verify identity https://bit.ly/3xKp2mQ
spam,USDT airdrop closing today. Connect wallet to claim $3400 http://verify-now.io/session
spam,Your Spotify membership expires today. Renew now and get 30% off https://tinyurl.com/y7auth
spam,Your Apple ID subscription payment failed. Update billing to avoid cancellation https://bit.ly/3xKp2mQ
spam,Your Disney Plus membership expires today. Renew now and get 50% off http://secure-verify.co/x9
spam,Remote position available: earn $1250 weekly working from home. Apply http://account-update.net/id
spam,Chase: your card was temporarily blocked. Reactivate at https://bit.ly/3xKp2mQ
ham,did you finish the report? i can review it tonight
spam,"Congratulations, you qualified for our BTC staking bonus of 0.45 BTC. Claim http://account-update.net/id"
ham,"thanks for helping out yesterday, really appreciate it"
ham,"lets grab lunch tomorrow, maybe around 1?"
spam,Your verification code is 603841. Do not share. If this wasn't you visit http://verify-now.io/session
ham,did you finish the report? i can review it tonight
spam,Apple ID account locked due to suspicious activity. Restore access https://tinyurl.com/y7auth
ham,"just landed, will text you when i get to the hotel"
spam,Refund of $620 approved. Confirm your account to receive funds http://verify-now.io/session
spam,Instagram security alert: your account will be suspended. Verify identity http://secure-verify.co/x9
spam,PayPal account locked due to suspicious activity. Restore access http://verify-now.io/session
spam,Payment declined for Netflix. Update your card details https://bit.ly/3xKp2mQ
spam,Microsoft security alert: your account will be suspended. Verify identity https://tinyurl.com/y7auth
spam,Final notice: your Kraken withdrawal of $1250 is pending approval https://bit.ly/3xKp2mQ
